filter,min_wave,max_wave,slicer_res,lenslet_res,micropupil_file
Zbb,0.8107,0.9967,4000,8000,mp0.9200.fits
Ybb,0.9330,1.1510,4000,8000,mp0.9700.fits
Jbb,1.1350,1.3890,4000,8000,mp1.2200.fits
Hbb,1.4740,1.8000,4000,8000,mp1.6200.fits
Kbb,1.9750,2.4120,4000,8000,mp2.1700.fits
ZN1,0.8260,0.8690,8000,4000,mp0.8700.fits
ZN2,0.8602,0.9050,8000,4000,mp0.8700.fits
ZN3,0.8958,0.9424,8000,4000,mp0.9200.fits
ZN4,0.9329,0.9814,8000,4000,mp0.9700.fits
YN1,0.9714,1.0219,8000,4000,mp0.9700.fits
YN2,1.0116,1.0641,8000,4000,mp1.0200.fits
YN3,1.0533,1.1080,8000,4000,mp1.0700.fits
JN1,1.1560,1.2153,8000,4000,mp1.1700.fits
JN2,1.2031,1.2648,8000,4000,mp1.2200.fits
JN3,1.2521,1.3163,8000,4000,mp1.2700.fits
JN4,1.3031,1.3699,8000,4000,mp1.3200.fits
HN1,1.4740,1.5495,8000,4000,mp1.5200.fits
HN2,1.5340,1.6126,8000,4000,mp1.5700.fits
HN3,1.5965,1.6783,8000,4000,mp1.6200.fits
HN4,1.6615,1.7467,8000,4000,mp1.6700.fits
HN5,1.7292,1.8178,8000,4000,mp1.7700.fits
KN1,1.9600,2.0604,8000,4000,mp1.9700.fits
KN2,2.0398,2.1443,8000,4000,mp2.0700.fits
KN3,2.1229,2.2317,8000,4000,mp2.1700.fits
KN4,2.2094,2.3226,8000,4000,mp2.1700.fits
KN4.5,2.275,2.3850,8000,4000,mp2.1700.fits
KN5,2.2993,2.4172,8000,4000,mp2.1700.fits
